"","UMAP1","UMAP2","Group"
"GSM2731574",1.2286260673506,7.97898024523859,"PNI_Pos_Normal"
"GSM2731575",-1.34240374369686,-0.853443399033295,"PNI_Neg_Tumor"
"GSM2731576",1.23891317344314,8.40159723251548,"PNI_Neg_Normal"
"GSM2731577",1.19672045841188,6.37641722303287,"PNI_Pos_Tumor"
"GSM2731578",1.18030194786509,8.48339221764254,"PNI_Pos_Normal"
"GSM2731579",0.316977726958076,-3.95137472621555,"PNI_Pos_Tumor"
"GSM2731580",1.58120937447464,8.11275064864528,"PNI_Pos_Normal"
"GSM2731581",-0.77683542548147,-0.235243122810296,"PNI_Pos_Tumor"
"GSM2731582",1.63595432571838,7.87800485975054,"PNI_Pos_Normal"
"GSM2731583",-0.326466162481499,-3.50706961931426,"PNI_Neg_Tumor"
"GSM2731584",1.40658130424951,7.65759659457833,"PNI_Neg_Normal"
"GSM2731585",-0.496645099885328,-2.46671680923582,"PNI_Pos_Tumor"
"GSM2731586",1.46982717330782,8.77694406772368,"PNI_Pos_Normal"
"GSM2731587",-0.358464379672617,-3.02434213961931,"PNI_Pos_Tumor"
"GSM2731588",-0.980280702477669,0.211090825057199,"PNI_Pos_Normal"
"GSM2731589",0.736342090364012,-3.58632444269803,"PNI_Neg_Tumor"
"GSM2731590",1.41903405053652,8.31704147543153,"PNI_Neg_Normal"
"GSM2731591",-1.48055554348054,-2.79732513556225,"PNI_Pos_Tumor"
"GSM2731592",1.58808538353471,8.70345338469464,"PNI_Pos_Normal"
"GSM2731593",0.115936655916275,-4.11220385805702,"PNI_Neg_Tumor"
"GSM2731594",1.59766365089262,7.17650841162953,"PNI_Neg_Normal"
"GSM2731595",-0.284021092569215,-3.24803271696602,"PNI_Neg_Tumor"
"GSM2731596",-0.578671125961599,-0.390015721545542,"PNI_Neg_Normal"
"GSM2731597",-1.11654161580852,-3.15282568690417,"PNI_Pos_Tumor"
"GSM2731598",1.53676293481952,6.88823929090951,"PNI_Pos_Normal"
"GSM2731599",-1.10532440796001,-1.24397029408913,"PNI_Neg_Tumor"
"GSM2731600",1.55149759624581,6.64103586021619,"PNI_Neg_Normal"
"GSM2731601",-0.554187263821404,-1.43120240757553,"PNI_Pos_Tumor"
"GSM2731602",1.06701209031284,6.70205386432293,"PNI_Pos_Normal"
"GSM2731603",-1.0073103843701,0.139575692915989,"PNI_Neg_Tumor"
"GSM2731604",-0.810103982843311,-0.145074740117669,"PNI_Neg_Normal"
"GSM2731605",-0.592430072481603,0.212694841886358,"PNI_Neg_Tumor"
"GSM2731606",-1.11450434858494,0.303888686442641,"PNI_Neg_Normal"
"GSM2731607",0.156716396614849,-3.18724823597827,"PNI_Neg_Tumor"
"GSM2731608",-0.924640642678595,0.550988742664106,"PNI_Neg_Normal"
"GSM2731609",0.0543186693591924,-3.72790120447644,"PNI_Pos_Tumor"
"GSM2731610",-1.18286237602674,0.609936062493194,"PNI_Pos_Normal"
"GSM2731611",-0.419862952865167,-0.803238864347377,"PNI_Pos_Tumor"
"GSM2731612",-2.47396616039809,-2.73369394966415,"PNI_Pos_Normal"
"GSM2731613",0.0512749263638854,-2.77364084971698,"PNI_Pos_Tumor"
"GSM2731614",1.70335697893969,8.32380230664265,"PNI_Pos_Normal"
"GSM2731615",0.673749314767442,-4.07561350365311,"PNI_Pos_Tumor"
"GSM2731616",-0.742934518262317,-0.971923190581424,"PNI_Pos_Normal"
"GSM2731617",-1.46110677223712,-3.16972515016134,"PNI_Pos_Tumor"
"GSM2731618",-0.792344478240395,-1.5091287205914,"PNI_Pos_Normal"
"GSM2731619",1.5146240361341,-4.85789119689339,"PNI_Pos_Tumor"
"GSM2731620",1.55211001682731,7.95429027012197,"PNI_Pos_Normal"
"GSM2731621",1.43609337670735,-4.65952829410063,"PNI_Neg_Tumor"
"GSM2731622",-2.20198058238885,-2.60406688812871,"PNI_Neg_Normal"
"GSM2731623",0.886506246238079,-4.89892459052931,"PNI_Neg_Tumor"
"GSM2731624",1.39955621997866,6.59484235071491,"PNI_Neg_Normal"
"GSM2731625",-0.940738854291225,-3.55705091327456,"PNI_Pos_Tumor"
"GSM2731626",-2.41755552788725,-2.96623082254608,"PNI_Pos_Normal"
"GSM2731627",0.158092745298115,-4.81151571498155,"PNI_Pos_Tumor"
"GSM2731628",1.06221642182419,8.45495402596681,"PNI_Pos_Normal"
"GSM2731629",1.95548061807125,-4.52337185746019,"PNI_Pos_Tumor"
"GSM2731630",-2.0195174435254,-2.27102816524807,"PNI_Pos_Normal"
"GSM2731631",1.07024133873203,-4.39550725018584,"PNI_Pos_Tumor"
"GSM2731632",1.74737373962771,6.94532327273933,"PNI_Pos_Normal"
"GSM2731633",-1.02102076359812,-1.67958655097729,"PNI_Pos_Tumor"
"GSM2731634",-1.40967441420921,-1.76049861123854,"PNI_Pos_Normal"
"GSM2731635",-0.4638630281502,-3.02762143556709,"PNI_Neg_Tumor"
"GSM2731636",1.74089004391268,7.5795338422474,"PNI_Neg_Normal"
"GSM2731637",-0.0935260001436546,-2.88608533353732,"PNI_Neg_Tumor"
"GSM2731638",-0.412332309208085,-0.0658566417668524,"PNI_Neg_Normal"
"GSM2731639",0.433057737306994,-3.34127059963104,"PNI_Neg_Tumor"
"GSM2731640",-2.62741254241482,-2.8129619486935,"PNI_Neg_Normal"
"GSM2731641",-0.824952610411189,-2.80363196903577,"PNI_Neg_Tumor"
"GSM2731642",-2.31898641497809,-2.85313624722731,"PNI_Neg_Normal"
