"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","106/4011","180/9370",0.588888888888889,1.37568907725976,4.40289306232365,0.00000856090748330027,0.000135712882895422,0.0000836030319272036,"718/5970/8893/3054/8764/3119/7297/578/728343/56001/3458/6352/10189/4049/8517/10000/3120/56829/4939/5819/581/598/3455/1978/5199/3115/6892/3460/4790/3112/6714/3117/3118/3113/29992/5499/5371/4615/3678/317/6891/7187/567/148022/6041/684/3105/3108/29110/3127/55080/64170/6885/8717/6890/340061/355/4938/10379/972/3569/727/3654/6427/3459/8772/9641/836/7097/6850/330/3551/841/637/8740/6772/5295/3135/3690/4940/3123/3126/3665/6672/5293/115004/10929/3109/3111/3133/3122/6773/6431/5610/7249/811/7157/3661/3107/3106/3134/6009/23586/7186/5452/3717",106
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","64/4011","99/9370",0.646464646464647,1.51019041071397,4.41486746244898,0.00000886760314373494,0.000135712882895422,0.0000836030319272036,"3688/183/4607/60/6262/7171/778/3694/4633/3693/7134/8082/784/4842/22801/489/3655/7169/7040/3680/4000/93589/3678/776/4624/775/27091/59283/6445/3685/3675/7273/3569/3695/781/7043/6641/284217/6546/488/1756/4625/3690/6640/1837/7042/55799/27092/782/3673/6444/5563/785/3676/53632/8515/6645/783/7139/6543/7168/3672/6443/3691",64
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","58/4011","88/9370",0.659090909090909,1.53968631717323,4.40040888985885,0.00000961280192517972,0.000140987761569303,0.0000868525086222378,"718/10878/3075/3078/2/3684/715/714/2244/713/710/2266/728/629/5329/2149/730/1191/11326/5265/5328/719/716/1378/1379/725/3689/7035/4179/2243/5624/2160/720/100293534/721/5270/727/3426/5627/7448/10544/5327/729/1604/712/5055/10877/2157/2162/717/2153/2151/3687/2152/9002/733/1380/10747",58
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","94/4011","157/9370",0.598726114649682,1.39866958221579,4.35806259350725,0.0000106835044965398,0.000146391445188518,0.0000901813328613481,"240/5878/4035/840/714/384/29933/713/6868/817/2056/2621/5734/1847/5732/8578/5777/3693/10326/6446/9261/834/489/89790/558/140885/84466/5467/5879/7040/5029/5468/338382/51761/55423/23166/50636/286046/1524/1051/1788/818/102/3685/7301/6513/64284/5087/5031/961/5627/4773/836/177/3988/203859/51552/4240/682/488/23250/712/19/5743/3690/1844/286410/1849/3091/1399/114786/8877/23659/389668/5175/6300/4776/815/6566/196527/126129/811/948/10396/56848/8754/383/1850/7879/9564/24145/10461/5600/3717",94
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","215/4011","404/9370",0.532178217821782,1.24320865145602,4.32316097400399,0.0000108130044741519,0.000146391445188518,0.0000901813328613481,"11322/81/80326/10109/7533/5664/5970/10413/87/5663/55233/29930/1501/1015/10083/7408/7529/57180/51107/10092/6934/3071/6093/9620/56122/60/51466/3856/79905/2535/1829/4542/83439/54798/8313/4041/79838/51474/1009/147183/2564/8517/7431/4640/4641/56125/5601/8936/1002/79633/56127/10095/64881/83464/8324/6331/56133/1004/5879/64072/3852/5880/5098/56134/51347/5317/4771/1500/10184/7476/1499/5156/4790/2260/55914/57717/3845/56104/5499/7976/56098/56113/26025/56112/56100/56114/56101/56106/56097/56107/8641/56108/56109/9708/56105/56110/56111/56102/56099/56103/2324/4233/4430/9113/286887/10097/3868/4642/7409/6237/8777/8325/2033/144165/3480/55845/4647/51294/192666/1824/102/3728/7479/84962/1856/8689/4893/9119/3880/54474/200959/387/2195/26167/324/56126/3854/25984/56131/1496/7484/3872/8642/29964/7532/3551/10094/120114/56135/81839/10093/51176/56132/1857/5606/81873/8321/56124/7414/2697/26524/10552/7410/22808/7477/27253/375612/222662/1012/375323/1000/54510/8994/6300/9475/65217/6788/653857/1825/3890/3889/4301/56139/57216/3850/3853/4643/29119/353288/2562/11187/56144/56145/7474/3861/1830/5097/5099/5101/3855/2185/56138/1956/56142/56129/4007/342184/126374/7483/56146/54361/1495/5600/25937/1003",215
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","65/4011","102/9370",0.637254901960784,1.48867574953192,4.29298067036913,0.0000152086799783837,0.000195671586982573,0.000120539314947398,"6343/493/5646/111/6262/477/486/952/1357/3710/10136/23436/489/5879/1080/277/278/276/5408/5908/6344/26279/81579/1358/5407/5644/1131/9545/440387/1504/22802/63036/5406/51032/23236/481/1360/109/483/387/683/8766/8399/3708/488/5319/7220/113/6548/1506/5578/3778/6558/8671/1056/3709/5330/219931/478/4218/196883/5906/2776/476/491",65
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","95/4011","160/9370",0.59375,1.38704500124657,4.27191606467882,0.0000155647853281592,0.000195671586982573,0.000120539314947398,"3688/22829/5788/3684/137075/5133/3119/5817/1462/914/23308/6382/6614/1002/22865/3120/3683/57555/5819/933/3655/64115/57689/3680/3115/3112/3117/3118/3113/923/3689/26285/152404/3105/9069/94030/3108/3127/90952/24146/3685/79679/958/54413/6404/84189/9672/3695/940/80380/120425/4897/9379/3135/50848/941/3123/3126/83700/925/3109/3111/3133/3122/965/1000/80381/22854/3676/5175/4685/51208/9075/5010/23114/9378/1364/1365/57502/53842/5802/3107/3106/257194/4684/9369/4359/9071/3134/29126/1493/6402/10666/57863/1003",95
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","60/4011","93/9370",0.645161290322581,1.50714567198269,4.25208063224203,0.0000184370473570349,0.000223787609299183,0.000137859591852965,"81/87/55698/6934/6093/6615/60/83439/1459/5777/4633/8936/5819/10398/5879/5880/1500/4636/5908/1499/2260/6714/5770/57154/4233/2033/3480/10627/6885/2534/1460/29895/10458/387/1496/7454/51176/56288/7414/7525/10163/5795/52/103910/83605/81607/9475/4301/4008/29119/51701/7046/3643/5906/1956/64750/1495/8976/8826/1003",60
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","105/4011","181/9370",0.580110497237569,1.35518208903416,4.17433491928784,0.0000232552961377425,0.000272862141349512,0.000168090912434209,"718/5970/3606/11151/5878/7096/3684/4360/91860/3119/22925/817/245972/3458/10000/2207/7421/5601/3120/2214/8844/581/7040/537/10333/1378/1379/3115/3460/4790/3112/6714/3117/3118/3113/805/3689/2213/4615/317/2033/1051/3920/64127/3108/3127/818/64170/4801/9114/8717/527/163688/2209/387/972/3569/3552/3654/3459/2212/8772/7043/836/7097/6850/841/5535/637/5993/64581/1520/6772/843/30835/801/3588/535/3123/3126/7042/5530/7099/5532/4261/3329/3109/3111/3122/3687/8877/4800/1509/6300/815/929/9103/56848/3656/7879/9902/4046/8915/5600/3717",105
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","91/4011","154/9370",0.590909090909091,1.38040842229324,4.11784810754735,0.0000303083646114817,0.00034414659171747,0.000212004180304422,"718/81/3688/87/3684/55612/60/2244/2277/2266/3694/1950/7148/10000/3918/3693/7424/7059/3915/1284/22801/3683/3655/3987/2317/5879/7040/5880/64098/3680/1101/1499/5156/6714/1292/3689/2324/4233/896/3678/1834/2243/1299/3480/158326/1287/1298/3685/3675/56034/83706/1282/6696/3695/7448/3909/3912/284217/80310/5829/7094/9459/1311/1278/894/5295/3690/2335/7414/5293/3673/1291/1293/3687/3676/7058/8515/55679/5228/3082/1277/3910/3913/3914/2200/1956/3672/2316/5154/3691/29780",91
