"Clinicopathological_Group","Gene_Count","Symbol","Gene_Description"
"Tumor_vs_Normal_Pos",726,"VPS37B","VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]"
"Tumor_vs_Normal_Pos",726,"UBR1","ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:HGNC:16808]"
"Tumor_vs_Normal_Pos",726,"ALYREF","Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]"
"Tumor_vs_Normal_Pos",726,"SLC6A4","solute carrier family 6 member 4 [Source:HGNC Symbol;Acc:HGNC:11050]"
"Tumor_vs_Normal_Pos",726,"ACVR2A","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"Tumor_vs_Normal_Pos",726,"BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]"
"Tumor_vs_Normal_Pos",726,"NEK11","NIMA related kinase 11 [Source:HGNC Symbol;Acc:HGNC:18593]"
"Tumor_vs_Normal_Pos",726,"GLRA1","glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]"
"Tumor_vs_Normal_Pos",726,"PGBD1","piggyBac transposable element derived 1 [Source:HGNC Symbol;Acc:HGNC:19398]"
"Tumor_vs_Normal_Pos",726,"TCF21","transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11632]"
"Tumor_vs_Normal_Pos",726,"TRIM49","tripartite motif containing 49 [Source:HGNC Symbol;Acc:HGNC:13431]"
"Tumor_vs_Normal_Pos",726,"PLPP7","phospholipid phosphatase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:28174]"
"Tumor_vs_Normal_Pos",726,"BBLN","bublin coiled coil protein [Source:HGNC Symbol;Acc:HGNC:17823]"
"Tumor_vs_Normal_Pos",726,"C1GALT1C1","C1GALT1 specific chaperone 1 [Source:HGNC Symbol;Acc:HGNC:24338]"
"Tumor_vs_Normal_Pos",726,"PEX14","peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]"
